no,jenis_ikan,nama_ikan,lokasi,total_kg
1,Demersal,Ayam-ayam,Binuangeun,24635
2,Pelagis Besar,Bawal Laut,Binuangeun,3551
3,Pelagis Besar,Cakalang,Binuangeun,1890595
4,Pelagis Kecil,Cendro,Binuangeun,24684
5,Karang (Reef-Associated),Ekor Kuning,Binuangeun,39521
6,Demersal,Gabus Laut,Binuangeun,18426
7,Demersal,Gerot-gerot,Binuangeun,58545
8,Demersal,Golok-golok,Binuangeun,17941
9,Demersal,Gulamah,Binuangeun,43087
10,Demersal / Karang,Kakap,Binuangeun,4175
11,Demersal / Karang,Kakap Batu,Binuangeun,4289
12,Demersal / Karang,Kakap Jenaha,Binuangeun,4844
13,Demersal / Karang,Kakap Merah,Binuangeun,6227
14,Demersal,Kapas-kapas,Binuangeun,51496
15,Pelagis Kecil,Kembung Lelaki,Binuangeun,51438
16,Pelagis Kecil,Kembung Perempuan,Binuangeun,47280
17,Karang (Reef-Associated),Kerapu,Binuangeun,5807
18,Demersal,Kuniran,Binuangeun,27362
19,Demersal,Kurisi,Binuangeun,35418
20,Pelagis Kecil / Semi-Demersal,Kuro,Binuangeun,81562
21,Pelagis Besar,Kuwe,Binuangeun,34298
22,Pelagis Besar,Kuwe Gerong,Binuangeun,7149
23,Pelagis Kecil,Layang,Binuangeun,296080
24,Pelagis Besar,Layaran,Binuangeun,11416
25,Demersal (Benthopelagis),Layur,Binuangeun,281683
26,Pelagis Besar,Lemadang,Binuangeun,138782
27,Karang (Reef-Associated),Lencam,Binuangeun,3494
28,Demersal,Manyung,Binuangeun,8010
29,Pelagis Besar,Marlin,Binuangeun,15870
30,Pelagis Besar,Nyunglas,Binuangeun,4641
31,Demersal (Elasmobranch),Pari,Binuangeun,10090
32,Pelagis Besar,Pedang,Binuangeun,5935
33,Pelagis Kecil / Semi-Demersal,Peperek,Binuangeun,42478
34,Karang (Reef-Associated),Pinjalo,Binuangeun,2984
35,Pelagis Kecil,Pisang-pisang,Binuangeun,128329
36,Demersal (Flatfish),Sebelah,Binuangeun,13056
37,Pelagis Kecil,Selar Bentong,Binuangeun,90916
38,Pelagis Kecil,Selar Kuning,Binuangeun,23252
39,Karang (Reef-Associated),Swanggi,Binuangeun,13470
40,Pelagis Besar,Tenggiri,Binuangeun,5563
41,Pelagis Besar,Tenggiri Papan,Binuangeun,7414
42,Pelagis Kecil / Semi-Demersal,Tetengkek,Binuangeun,25598
43,Pelagis Besar,Tongkol,Binuangeun,22044
44,Pelagis Besar,Tongkol Abu-abu,Binuangeun,19397
45,Pelagis Besar,Tongkol Banyar,Binuangeun,45642
46,Pelagis Besar,Tongkol Komo,Binuangeun,37460
47,Pelagis Besar,Tongkol Lisong,Binuangeun,37617
48,Pelagis Besar,Tuna Mata Besar,Binuangeun,31973
49,Pelagis Besar,Tuna Sirip Kuning,Binuangeun,875087
JUMLAH,,,Binuangeun,4680611
1,Demersal,Ayam-ayam,Tanjungpanto,328
2,Pelagis Besar,Bawal Laut,Tanjungpanto,48
3,Pelagis Besar,Cakalang,Tanjungpanto,1826
4,Pelagis Kecil,Cendro,Tanjungpanto,355
5,Karang (Reef-Associated),Ekor Kuning,Tanjungpanto,567
6,Demersal,Gabus Laut,Tanjungpanto,270
7,Demersal,Gerot-gerot,Tanjungpanto,842
8,Demersal,Golok-golok,Tanjungpanto,260
9,Demersal,Gulamah,Tanjungpanto,627
10,Demersal / Karang,Kakap,Tanjungpanto,65
11,Demersal / Karang,Kakap Batu,Tanjungpanto,35
12,Demersal / Karang,Kakap Jenaha,Tanjungpanto,76
13,Demersal / Karang,Kakap Merah,Tanjungpanto,90
14,Demersal,Kapas-kapas,Tanjungpanto,649
15,Pelagis Kecil,Kembung Lelaki,Tanjungpanto,613
16,Pelagis Kecil,Kembung Perempuan,Tanjungpanto,567
17,Karang (Reef-Associated),Kerapu,Tanjungpanto,84
18,Demersal,Kuniran,Tanjungpanto,398
19,Demersal,Kurisi,Tanjungpanto,514
20,Pelagis Kecil / Semi-Demersal,Kuro,Tanjungpanto,1187
21,Pelagis Besar,Kuwe,Tanjungpanto,422
22,Pelagis Besar,Kuwe Gerong,Tanjungpanto,86
23,Pelagis Kecil,Layang,Tanjungpanto,212
24,Pelagis Besar,Layaran,Tanjungpanto,51
25,Demersal (Benthopelagis),Layur,Tanjungpanto,3677
26,Pelagis Besar,Lemadang,Tanjungpanto,1275
27,Karang (Reef-Associated),Lencam,Tanjungpanto,51
28,Demersal,Manyung,Tanjungpanto,129
29,Pelagis Besar,Marlin,Tanjungpanto,98
30,Pelagis Besar,Nyunglas,Tanjungpanto,37
31,Demersal (Elasmobranch),Pari,Tanjungpanto,145
32,Pelagis Besar,Pedang,Tanjungpanto,31
33,Pelagis Kecil / Semi-Demersal,Peperek,Tanjungpanto,683
34,Karang (Reef-Associated),Pinjalo,Tanjungpanto,48
35,Pelagis Kecil,Pisang-pisang,Tanjungpanto,2062
36,Demersal (Flatfish),Sebelah,Tanjungpanto,210
37,Pelagis Kecil,Selar Bentong,Tanjungpanto,1329
38,Pelagis Kecil,Selar Kuning,Tanjungpanto,18
39,Karang (Reef-Associated),Swanggi,Tanjungpanto,194
40,Pelagis Besar,Tenggiri,Tanjungpanto,45
41,Pelagis Besar,Tenggiri Papan,Tanjungpanto,59
42,Pelagis Kecil / Semi-Demersal,Tetengkek,Tanjungpanto,310
43,Pelagis Besar,Tongkol,Tanjungpanto,267
44,Pelagis Besar,Tongkol Abu-abu,Tanjungpanto,235
45,Pelagis Besar,Tongkol Banyar,Tanjungpanto,548
46,Pelagis Besar,Tongkol Komo,Tanjungpanto,449
47,Pelagis Besar,Tongkol Lisong,Tanjungpanto,455
48,Pelagis Besar,Tuna Mata Besar,Tanjungpanto,7
49,Pelagis Besar,Tuna Sirip Kuning,Tanjungpanto,500
JUMLAH,,,Tanjungpanto,23034
1,Demersal,Ayam-ayam,Sukahujan,730
2,Pelagis Besar,Bawal Laut,Sukahujan,106
3,Pelagis Besar,Cakalang,Sukahujan,4074
4,Pelagis Kecil,Cendro,Sukahujan,788
5,Karang (Reef-Associated),Ekor Kuning,Sukahujan,1260
6,Demersal,Gabus Laut,Sukahujan,599
7,Demersal,Gerot-gerot,Sukahujan,1873
8,Demersal,Golok-golok,Sukahujan,578
9,Demersal,Gulamah,Sukahujan,1393
10,Demersal / Karang,Kakap,Sukahujan,145
11,Demersal / Karang,Kakap Batu,Sukahujan,78
12,Demersal / Karang,Kakap Jenaha,Sukahujan,169
13,Demersal / Karang,Kakap Merah,Sukahujan,201
14,Demersal,Kapas-kapas,Sukahujan,1442
15,Pelagis Kecil,Kembung Lelaki,Sukahujan,1363
16,Pelagis Kecil,Kembung Perempuan,Sukahujan,1262
17,Karang (Reef-Associated),Kerapu,Sukahujan,188
18,Demersal,Kuniran,Sukahujan,885
19,Demersal,Kurisi,Sukahujan,1143
20,Pelagis Kecil / Semi-Demersal,Kuro,Sukahujan,2639
21,Pelagis Besar,Kuwe,Sukahujan,938
22,Pelagis Besar,Kuwe Gerong,Sukahujan,192
23,Pelagis Kecil,Layang,Sukahujan,476
24,Pelagis Besar,Layaran,Sukahujan,113
25,Demersal (Benthopelagis),Layur,Sukahujan,8171
26,Pelagis Besar,Lemadang,Sukahujan,2853
27,Karang (Reef-Associated),Lencam,Sukahujan,112
28,Demersal,Manyung,Sukahujan,286
29,Pelagis Besar,Marlin,Sukahujan,219
30,Pelagis Besar,Nyunglas,Sukahujan,84
31,Demersal (Elasmobranch),Pari,Sukahujan,323
32,Pelagis Besar,Pedang,Sukahujan,69
33,Pelagis Kecil / Semi-Demersal,Peperek,Sukahujan,1517
34,Karang (Reef-Associated),Pinjalo,Sukahujan,107
35,Pelagis Kecil,Pisang-pisang,Sukahujan,4583
36,Demersal (Flatfish),Sebelah,Sukahujan,466
37,Pelagis Kecil,Selar Bentong,Sukahujan,2957
38,Pelagis Kecil,Selar Kuning,Sukahujan,40
39,Karang (Reef-Associated),Swanggi,Sukahujan,431
40,Pelagis Besar,Tenggiri,Sukahujan,101
41,Pelagis Besar,Tenggiri Papan,Sukahujan,133
42,Pelagis Kecil / Semi-Demersal,Tetengkek,Sukahujan,690
43,Pelagis Besar,Tongkol,Sukahujan,593
44,Pelagis Besar,Tongkol Abu-abu,Sukahujan,523
45,Pelagis Besar,Tongkol Banyar,Sukahujan,1217
46,Pelagis Besar,Tongkol Komo,Sukahujan,999
47,Pelagis Besar,Tongkol Lisong,Sukahujan,1011
48,Pelagis Besar,Tuna Mata Besar,Sukahujan,16
49,Pelagis Besar,Tuna Sirip Kuning,Sukahujan,1112
JUMLAH,,,Sukahujan,51248
1,Demersal,Ayam-ayam,Cipunaga,1211
2,Pelagis Besar,Bawal Laut,Cipunaga,176
3,Pelagis Besar,Cakalang,Cipunaga,6742
4,Pelagis Kecil,Cendro,Cipunaga,1313
5,Karang (Reef-Associated),Ekor Kuning,Cipunaga,2099
6,Demersal,Gabus Laut,Cipunaga,998
7,Demersal,Gerot-gerot,Cipunaga,3119
8,Demersal,Golok-golok,Cipunaga,962
9,Demersal,Gulamah,Cipunaga,2321
10,Demersal / Karang,Kakap,Cipunaga,242
11,Demersal / Karang,Kakap Batu,Cipunaga,130
12,Demersal / Karang,Kakap Jenaha,Cipunaga,282
13,Demersal / Karang,Kakap Merah,Cipunaga,334
14,Demersal,Kapas-kapas,Cipunaga,2403
15,Pelagis Kecil,Kembung Lelaki,Cipunaga,2270
16,Pelagis Kecil,Kembung Perempuan,Cipunaga,2101
17,Karang (Reef-Associated),Kerapu,Cipunaga,313
18,Demersal,Kuniran,Cipunaga,1475
19,Demersal,Kurisi,Cipunaga,1904
20,Pelagis Kecil / Semi-Demersal,Kuro,Cipunaga,4397
21,Pelagis Besar,Kuwe,Cipunaga,1564
22,Pelagis Besar,Kuwe Gerong,Cipunaga,320
23,Pelagis Kecil,Layang,Cipunaga,777
24,Pelagis Besar,Layaran,Cipunaga,187
25,Demersal (Benthopelagis),Layur,Cipunaga,13616
26,Pelagis Besar,Lemadang,Cipunaga,4694
27,Karang (Reef-Associated),Lencam,Cipunaga,187
28,Demersal,Manyung,Cipunaga,477
29,Pelagis Besar,Marlin,Cipunaga,364
30,Pelagis Besar,Nyunglas,Cipunaga,138
31,Demersal (Elasmobranch),Pari,Cipunaga,538
32,Pelagis Besar,Pedang,Cipunaga,113
33,Pelagis Kecil / Semi-Demersal,Peperek,Cipunaga,2528
34,Karang (Reef-Associated),Pinjalo,Cipunaga,178
35,Pelagis Kecil,Pisang-pisang,Cipunaga,7639
36,Demersal (Flatfish),Sebelah,Cipunaga,777
37,Pelagis Kecil,Selar Bentong,Cipunaga,4920
38,Pelagis Kecil,Selar Kuning,Cipunaga,66
39,Karang (Reef-Associated),Swanggi,Cipunaga,718
40,Pelagis Besar,Tenggiri,Cipunaga,167
41,Pelagis Besar,Tenggiri Papan,Cipunaga,219
42,Pelagis Kecil / Semi-Demersal,Tetengkek,Cipunaga,1148
43,Pelagis Besar,Tongkol,Cipunaga,988
44,Pelagis Besar,Tongkol Abu-abu,Cipunaga,871
45,Pelagis Besar,Tongkol Banyar,Cipunaga,2028
46,Pelagis Besar,Tongkol Komo,Cipunaga,1663
47,Pelagis Besar,Tongkol Lisong,Cipunaga,1683
48,Pelagis Besar,Tuna Mata Besar,Cipunaga,27
49,Pelagis Besar,Tuna Sirip Kuning,Cipunaga,1853
JUMLAH,,,Cipunaga,85240
1,Demersal,Ayam-ayam,Panyaungan,983
2,Pelagis Besar,Bawal Laut,Panyaungan,143
3,Pelagis Besar,Cakalang,Panyaungan,5478
4,Pelagis Kecil,Cendro,Panyaungan,1064
5,Karang (Reef-Associated),Ekor Kuning,Panyaungan,1701
6,Demersal,Gabus Laut,Panyaungan,809
7,Demersal,Gerot-gerot,Panyaungan,2527
8,Demersal,Golok-golok,Panyaungan,780
9,Demersal,Gulamah,Panyaungan,1880
10,Demersal / Karang,Kakap,Panyaungan,196
11,Demersal / Karang,Kakap Batu,Panyaungan,106
12,Demersal / Karang,Kakap Jenaha,Panyaungan,228
13,Demersal / Karang,Kakap Merah,Panyaungan,271
14,Demersal,Kapas-kapas,Panyaungan,1946
15,Pelagis Kecil,Kembung Lelaki,Panyaungan,1839
16,Pelagis Kecil,Kembung Perempuan,Panyaungan,1702
17,Karang (Reef-Associated),Kerapu,Panyaungan,253
18,Demersal,Kuniran,Panyaungan,1195
19,Demersal,Kurisi,Panyaungan,1543
20,Pelagis Kecil / Semi-Demersal,Kuro,Panyaungan,3562
21,Pelagis Besar,Kuwe,Panyaungan,1267
22,Pelagis Besar,Kuwe Gerong,Panyaungan,259
23,Pelagis Kecil,Layang,Panyaungan,635
24,Pelagis Besar,Layaran,Panyaungan,152
25,Demersal (Benthopelagis),Layur,Panyaungan,11030
26,Pelagis Besar,Lemadang,Panyaungan,3824
27,Karang (Reef-Associated),Lencam,Panyaungan,152
28,Demersal,Manyung,Panyaungan,386
29,Pelagis Besar,Marlin,Panyaungan,295
30,Pelagis Besar,Nyunglas,Panyaungan,112
31,Demersal (Elasmobranch),Pari,Panyaungan,436
32,Pelagis Besar,Pedang,Panyaungan,92
33,Pelagis Kecil / Semi-Demersal,Peperek,Panyaungan,2048
34,Karang (Reef-Associated),Pinjalo,Panyaungan,144
35,Pelagis Kecil,Pisang-pisang,Panyaungan,6187
36,Demersal (Flatfish),Sebelah,Panyaungan,629
37,Pelagis Kecil,Selar Bentong,Panyaungan,3988
38,Pelagis Kecil,Selar Kuning,Panyaungan,54
39,Karang (Reef-Associated),Swanggi,Panyaungan,582
40,Pelagis Besar,Tenggiri,Panyaungan,135
41,Pelagis Besar,Tenggiri Papan,Panyaungan,178
42,Pelagis Kecil / Semi-Demersal,Tetengkek,Panyaungan,930
43,Pelagis Besar,Tongkol,Panyaungan,800
44,Pelagis Besar,Tongkol Abu-abu,Panyaungan,706
45,Pelagis Besar,Tongkol Banyar,Panyaungan,1643
46,Pelagis Besar,Tongkol Komo,Panyaungan,1348
47,Pelagis Besar,Tongkol Lisong,Panyaungan,1364
48,Pelagis Besar,Tuna Mata Besar,Panyaungan,22
49,Pelagis Besar,Tuna Sirip Kuning,Panyaungan,1501
JUMLAH,,,Panyaungan,69105
1,Demersal,Ayam-ayam,Situregen,1112
2,Pelagis Besar,Bawal Laut,Situregen,162
3,Pelagis Besar,Cakalang,Situregen,6180
4,Pelagis Kecil,Cendro,Situregen,1207
5,Karang (Reef-Associated),Ekor Kuning,Situregen,1931
6,Demersal,Gabus Laut,Situregen,918
7,Demersal,Gerot-gerot,Situregen,2869
8,Demersal,Golok-golok,Situregen,885
9,Demersal,Gulamah,Situregen,2135
10,Demersal / Karang,Kakap,Situregen,223
11,Demersal / Karang,Kakap Batu,Situregen,120
12,Demersal / Karang,Kakap Jenaha,Situregen,259
13,Demersal / Karang,Kakap Merah,Situregen,308
14,Demersal,Kapas-kapas,Situregen,2210
15,Pelagis Kecil,Kembung Lelaki,Situregen,2087
16,Pelagis Kecil,Kembung Perempuan,Situregen,1932
17,Karang (Reef-Associated),Kerapu,Situregen,288
18,Demersal,Kuniran,Situregen,1357
